ASV	Domain	Phylum	Class	Order	Family	Genus	Species	
a936cdf870339e341c193736078a2e66	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Prolixibacteraceae	 g__uncultured	
c12df5e97e6d2458121fec3a4ea4022a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae	 g__uncultured	 s__uncultured_sediment
f02514df8ce9ed31a57c516b6cefdd01	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Roseibacillus	
a526438ba1824441c35b2bf036102507	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__Vicingus	
901461c995bb9b83f434ace8d7384b75	Unassigned						
8d1eda7ed67f324aa58179e6019925d8	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Blastopirellula	
72be6ffa1b0347866d8cd9dae427d6d4	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Algibacter	
3caf5248f29413a78531fd27e6976201	d__Bacteria	 p__Campilobacterota	 c__Campylobacteria	 o__Campylobacterales	 f__Sulfurimonadaceae	 g__Sulfurimonas	 s__uncultured_deep-sea
ff645604d2daf1cedeb162e4fede9819	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Colwelliaceae	 g__Colwellia	 s__unidentified
1cf59285460d2f8dea464c84584be14a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae		
a3fecb0d8f320e1a41bd824ca13f0d8b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Magnetospiraceae	 g__uncultured	 s__uncultured_marine
5c6e1c107bf46b781b52b455aeef64a6	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	
8d42541ea407ae76fccb1897eda79f00	d__Bacteria	 p__Calditrichota	 c__Calditrichia	 o__Calditrichales	 f__Calditrichaceae	 g__Calditrichaceae	 s__uncultured_bacterium
51e2dcd8bf3c87f3fa9ef1f6a9f00d76	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae		
596cf4fa3a38ae619d461fef37e3b36b	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Schlesneriaceae	 g__Schlesneria	
8298a731ab57e12559181c06c3cbddde	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingorhabdus	
a85d5a8834ffceb572217ddb37ef2daf	d__Bacteria	 p__Actinobacteriota					
d57e2e8de3ada96929169e618d6dedf8	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiotrichales	 f__Thiotrichaceae	 g__Thiothrix	 s__Thiothrix_sp.
