ASV	Domain	Phylum	Class	Order	Family	Genus	Species	
85f159150af5bd5f21cea957d0e49116	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria				
9a22a61d754961617423362b57f3c650	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Winogradskyella	
a65065e703f41fc077c231a69f169e2b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Nitrosomonadaceae	 g__Nitrosomonas	
3e290b9626f83717998f9a06155c083a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__LiUU-11-161	 g__LiUU-11-161	
18687fc982460b94d23a27fb89798ecf	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Robiginitomaculum	 s__uncultured_gamma
a36326a4008721b3e98ec1bb6a728b11	d__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__Oligoflexales	 f__uncultured	 g__uncultured	
40ffa0f25a91cbaee69db9bc04e69f92	d__Bacteria	 p__Desulfobacterota	 c__Desulfuromonadia	 o__Sva1033	 f__Sva1033	 g__Sva1033	 s__uncultured_Desulfuromonadaceae
707d2a6e6cddaa6baa1515446979aa57	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales			
1694e824e85c50d63e0cc2e06f199758	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Actinomarinales	 f__Actinomarinales	 g__Actinomarinales	 s__uncultured_bacterium
5f312a035d9b34bcd76cdf6b8679d88b	d__Bacteria	 p__Bdellovibrionota	 c__Oligoflexia	 o__Oligoflexales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
a54e2e6ff051834c9d4c435e496799cd	d__Bacteria	 p__Verrucomicrobiota	 c__Omnitrophia	 o__Omnitrophales	 f__Omnitrophaceae	 g__Candidatus_Omnitrophus	 s__uncultured_organism
a4fb63c934b8cc7da45b7f2847672273	d__Bacteria	 p__Desulfobacterota	 c__Desulfobacteria	 o__Desulfobacterales	 f__Desulfobacteraceae	 g__uncultured	 s__uncultured_sediment
26cd8ffe69aba2bb3404f10056c37459	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Gaiellales	 f__uncultured	 g__uncultured	 s__metagenome
b0b8093635ed604d8e0951c20a6d416d	d__Bacteria	 p__Planctomycetota	 c__vadinHA49	 o__vadinHA49	 f__vadinHA49	 g__vadinHA49	 s__uncultured_bacterium
4dfd56b6d8da74ee5853db4cb41b5d9e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_deep-sea
8accc13cbd3b7bed0b9f6436cf6296e8	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Lewinella	 s__uncultured_bacterium
914e9a535ff3f0bad49b145b46eaf929	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Jannaschia	
e7c713579ae68c6453e78964068c8a84	d__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__Woesearchaeales	 f__Woesearchaeales	 g__Woesearchaeales	
3c19102f9f135379373a4fbf2484fdad	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Granulosicoccales	 f__Granulosicoccaceae	 g__Granulosicoccus	
9bbbe98e131a72e72d7a2bc6c2b69354	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__SM2D12	 g__SM2D12	
7595f0a632cf227d7356d810bd97786f	d__Bacteria	 p__Acidobacteriota	 c__Thermoanaerobaculia	 o__Thermoanaerobaculales	 f__Thermoanaerobaculaceae	 g__Subgroup_10	 s__uncultured_Geobacter
525e702eea87fd293e44c7c39364b180	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Absconditabacteriales_(SR1)	 f__Absconditabacteriales_(SR1)	 g__Absconditabacteriales_(SR1)	 s__uncultured_Epsilonproteobacteria
a40f4ff768fe5451c7984f68007e1fe5	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__KI89A_clade	 f__KI89A_clade	 g__KI89A_clade	
0952a2dc2c919d099bdc998cdff121b1	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Microtrichaceae	 g__uncultured	
3f0d7f84d9479ef2d61ea58444c387d6	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_bacterium
88c41d1b89f7a59cd52fb4ad0c8ab9fd	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__KI89A_clade	 f__KI89A_clade	 g__KI89A_clade	 s__uncultured_deep-sea
893c28c37d3398b9058ba0230ac28be7	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Oceanospirillales	 f__Alcanivoracaceae1	 g__Alcanivorax	
4ef18c043cb2f0cc109745445c82702d	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__uncultured_bacterium
1662717be29eae13365119c387f9eccb	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__uncultured_marine
57d4086de3406acceab3101878ba838c	d__Bacteria	 p__Planctomycetota	 c__vadinHA49	 o__vadinHA49	 f__vadinHA49	 g__vadinHA49	 s__uncultured_bacterium
c0d681601c5ae5e0599a398846445d1c	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__NS11-12_marine_group	 g__NS11-12_marine_group	
49540b86c68f0611a0538a3dd1844f7a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__Labilibacter	 s__uncultured_Bacteroidetes
87e434f293d442439c35574a74162558	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Taibaiella	 s__uncultured_Bacteroidetes
e7f659eec333de89d2f217f7bf5ab39a	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Rhodopirellula	
c53805502c46541861f05663e866f776	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__uncultured_Sphingobacteriia
5b9d5dc3bf967e6258b1314aa7660afc	d__Bacteria	 p__Firmicutes	 c__Negativicutes	 o__Veillonellales-Selenomonadales	 f__Veillonellaceae	 g__Negativicoccus	 s__Negativicoccus_succinicivorans
3f4be8d87f86f6c4478102e5ebd20714	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Aquimarina	
44c1c6ad961cb6b2eb2b26b0542fe69f	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__Labilibacter	 s__uncultured_Bacteroidetes
8bad14fc3adc5d2fb2ab3b0c9119c1cb	d__Bacteria	 p__Bacteroidota	 c__Rhodothermia	 o__Rhodothermales	 f__Rhodothermaceae	 g__Rhodothermaceae	 s__uncultured_bacterium
b7c50f234256ad637ef849ba1db17faf	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__PeM15	 f__PeM15	 g__PeM15	 s__uncultured_soil
74ccf0559d2d6bca2dd78926233c4410	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Rhodopirellula	 s__uncultured_planctomycete
86c03e0ea2a1442dca3984d689750669	d__Archaea	 p__Crenarchaeota	 c__Nitrososphaeria	 o__Nitrososphaerales	 f__Nitrososphaeraceae	 g__Candidatus_Nitrocosmicus	
20ad54763732f8c3672b272b201c3996	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__Vicingus	 s__uncultured_bacterium
1735dc98bdafae48abfc666002f63555	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Polyangiaceae		
07ce3a973403f6d798f015ecb76f34c4	d__Bacteria	 p__NB1-j	 c__NB1-j	 o__NB1-j	 f__NB1-j	 g__NB1-j	
c86fc0358e4e4324c00b2420de80ee52	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
d375ee2bcc4d7e1622fd2b995e5af7c0	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__uncultured	 g__uncultured	 s__uncultured_Bacteroidetes
af01e026543eedc33cb00daaafefb5a6	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae	 g__Fulvivirga	 s__uncultured_organism
0ac82b5ebae81e3f79405ba8996f8720	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Entomoplasmatales	 f__Entomoplasmatales_Incertae_Sedis	 g__Candidatus_Hepatoplasma	 s__uncultured_bacterium
a17667d45ef4c96645d02a879203645f	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__DEV007	 g__DEV007	
04ac361ef75cef8892da98d982202fb3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
14314e4171d805f7f5250ff43a05b101	d__Bacteria	 p__Myxococcota	 c__Myxococcia	 o__Myxococcales	 f__Myxococcaceae	 g__P3OB-42	
c24cf413388b40b0294e11841f307b5f	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	
edb1766883bad6d135d727f1bd4c1c77	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae	 g__Fulvivirga	 s__uncultured_bacterium
c0246edc5e27f6351f6c05e9eafb08d1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__uncultured	 s__uncultured_sediment
c1e0e70c0d7a7d91a145243c797873a3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales			
0f8e3b1fbe97ddbbb0456a651e726e5e	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Sandaracinaceae	 g__Sandaracinus	
3ce25653700ef16f8cc42ed91e014503	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Aerococcaceae	 g__Eremococcus	 s__uncultured_bacterium
93c5c0c333cafd0698a98ba68494720e	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__metagenome
dd3dfbdf7468f75c2871fd4c6b813fc6	d__Bacteria	 p__Acidobacteriota	 c__Thermoanaerobaculia	 o__Thermoanaerobaculales	 f__Thermoanaerobaculaceae	 g__Subgroup_10	 s__uncultured_bacterium
a0a4b5d1f5619eabb97b2f4d0c8f625d	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Crocinitomicaceae	 g__Crocinitomix	 s__Crocinitomix_sp.
014150c02aad960b2b39c7f620904e79	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales			
6c3ceb778ec18242a4576a533f2a9748	d__Bacteria	 p__Acidobacteriota	 c__Thermoanaerobaculia	 o__Thermoanaerobaculales	 f__Thermoanaerobaculaceae	 g__Subgroup_23	
e48be7a6894dd2f0c473e9bb75868a17	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Altererythrobacter	 s__uncultured_marine
203e4658cbba92267543404f5eb53748	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Blastopirellula	 s__bacterium_SH1-10
e04e8cf6619eb6719989e8a3bbfa63b5	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Lewinella	 s__Lewinella_lutea
4d42eb39973261ca7a99bf0db1a5f66d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
707549120ac3a8b979b228211a2f43a7	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Candidatus_Kaiserbacteria	 f__Candidatus_Kaiserbacteria	 g__Candidatus_Kaiserbacteria	 s__uncultured_prokaryote
5d207402c33aacd491de9a8c01f9b240	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__uncultured	 g__uncultured	 s__uncultured_Sphingobacteriales
53f4c03047c28128a78f39ac4f8fc860	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Aquimarina	 s__Aquimarina_sp.
18332ae478108432749abab3b1d122b7	Unassigned						
fa88a915b8717dc0cb0bcc90f50f134a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Nitrococcales	 f__Nitrococcaceae		
9782393373a5fc269a6943cea41c5b8b	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae				
c3a760d5f933b461773ead9793dd1f75	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__AT-s2-59	 f__AT-s2-59	 g__AT-s2-59	 s__uncultured_sediment
fd8651874edd407737cfd299a0a1fd1f	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia				
a4d46d599d420fff4bf053619b489555	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Algitalea	 s__uncultured_bacterium
3ebe3b295a6e480e018b69036923c940	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pirellula	 s__uncultured_organism
71c417cb1fc90aaf9e71a76494ac1f9e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__uncultured	 g__uncultured	 s__uncultured_Rhodospirillales
33c051250a4bcfcbe9ca6e77c62702f6	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__PAUC26f	 f__PAUC26f	 g__PAUC26f	 s__uncultured_Acidobacteria
f0da5ef16a37a0e33b203ff8d02d14cf	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Rhodopirellula	
7795089a6e784a2fed5fafd10b269cba	d__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	
cac5654ff56c2e606a971bd1ad8d55cc	d__Bacteria						
1a96269f310441bff4e47304d75f191d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Vibrionales	 f__Vibrionaceae	 g__Vibrio	
c6df1d2254801eed7ad7e9512c04cc63	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cytophagaceae	 g__Cytophaga	 s__Hypsibius_dujardini
56440278a23c3d3ab4aa7dd7b042b80c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__uncultured	 g__uncultured	 s__uncultured_Sphingomonas
a553d72f8c11e092d31a7aa9f74fec81	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
a0c75e1d4b5fec4b8f20bc799748804a	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__Algisphaera	 s__uncultured_bacterium
360b1badb70b37440173862cb3b9ee2c	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidetes_VC2.1_Bac22	 f__Bacteroidetes_VC2.1_Bac22	 g__Bacteroidetes_VC2.1_Bac22	 s__uncultured_Bacteroidetes
e6d633bc612d661f81eeffb38bc10d86	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Oceanospirillales	 f__Nitrincolaceae	 g__Profundimonas	
797dd2367cc160702fb391e47b4e4718	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Polaribacter	
b43d31574f079452d658752e40504c66	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Amoebophilaceae	 g__Candidatus_Cardinium	
27d3e6334e25da13fd926dfba6a64417	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Gracilibacteria	 f__Gracilibacteria	 g__Gracilibacteria	 s__marine_metagenome
26d3471b61164a8fe67f8022e42319d3	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae		
ee96751ab2e946316e4e7e693474f85b	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Microtrichaceae	 g__uncultured	 s__uncultured_Acidimicrobiales
ca27fc4331c3863af4d432178833343b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__uncultured	 g__uncultured	 s__uncultured_Sphingobacteriales
cc57707dc524d7dd8503b4155b4d6421	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
581e7ad75e1ab2efaac43ec570f7abbd	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Altererythrobacter	
e8ad3d1a18971d41b5859b5747d3ca88	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
25ee76c875a08de1e3b35aefa82d198d	d__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__Woesearchaeales	 f__Woesearchaeales	 g__Woesearchaeales	 s__uncultured_euryarchaeote
4c6d0d80d1b4f2fec8ab794a110ff642	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales			
3faecaba52bc810df231e3f09593203d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiotrichales	 f__Thiotrichaceae	 g__uncultured	 s__uncultured_sediment
08cb14d9fc76c3dddabe0b1122f79721	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae		
3a8f9adbd3c0da3a2f5aac1e61898905	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Lentimicrobiaceae	 g__Lentimicrobiaceae	 s__marine_metagenome
d90a5f2cb218da01fc8b03cb9b293c1a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__UBA10353_marine_group	 f__UBA10353_marine_group	 g__UBA10353_marine_group	
1fcb36f14176ffdd910ee245ba2f74fd	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__DEV007	 g__DEV007	
340e71fa819f75d7deb9f8ee9d8df7c5	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae		
4eae89c0b71aea4aaf2f036da1d83ea4	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__Flavobacterium_arcticum
ddf096e9731f7b1a276b7ad847697941	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Lutibacter	
bca6382a046d40222b891f5ae36f2b26	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Diplorickettsiales	 f__Diplorickettsiaceae	 g__Aquicella	 s__unidentified
0cb6b85cee545b3c656dddc028d32cf3	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Cyanobacteriales	 f__Xenococcaceae	 g__Pleurocapsa_PCC-7319	 s__Pleurocapsa_minor
4544f4413dc256ea100bde37b83126f3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Phyllobacterium	
b635367d7bf50e5042d896a14878fcef	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__uncultured_bacterium
17ab41f067fe6da0ebfac7c4e7636b5d	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae	 g__uncultured	 s__uncultured_Flammeovirgaceae
6a3fdcb043ac499693eba48165e8d7b9	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Xanthomonadaceae	 g__uncultured	 s__uncultured_gamma
0685ffe4e4fc28dd1c5f8c2e0eee32f3	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Monoglobales	 f__Monoglobaceae	 g__Monoglobus	
94c2d2e2f0dbf4ef8e98433720504ffb	d__Bacteria	 p__Modulibacteria	 c__Moduliflexia	 o__Moduliflexales	 f__Moduliflexaceae	 g__Moduliflexaceae	 s__uncultured_bacterium
51fa3c8c02e6179f1acf21f4f656c8ca	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Rhodopirellula	 s__uncultured_planctomycete
5672759f165e633bbcfd1d0f4306794e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__uncultured	 s__uncultured_delta
243b4b4bc164bc7ff5ccf7988bf2d2f4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__uncultured	 s__uncultured_delta
e8e54d1eca2601ebe98531ed661d8e30	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__SB-5	 g__SB-5	 s__metagenome
068e43b200092aae8e56f72466f92e3e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_Thioalkalivibrio
4c041dd58d417fbb46b410f00200f481	d__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__uncultured_marine
37402d22be3db9f6d6ff2a0a233cc67e	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales			
e5b344ee1f59930c3e6a06e4b154f97b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Cellvibrionaceae		
17c52a015a857a283eda43710b8b0fb4	d__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_planctomycete
6fc665de259f86c57c1538005ac6bc87	d__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_bacterium
d9c164182823970b54575c4f7d262f25	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__LiUU-11-161	 g__LiUU-11-161	
3e09ca4adf78d77e85572e3fa0bb65a4	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Shewanellaceae	 g__Shewanella	
1e8d750b3a44d264196764f247e42f6b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidetes_BD2-2	 g__Bacteroidetes_BD2-2	 s__uncultured_Bacteroidetes/Chlorobi
801b272da9b73cd2462e408ed2cf979a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae		
9e5a0ea33e1ef461ec905c24c79cac6d	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Rubidimonas	 s__Rubidimonas_crustatorum
fef5276eedecd6effd5945ea87871c07	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Granulosicoccales	 f__Granulosicoccaceae	 g__Granulosicoccus	
a7c1b3aa3456ebcf29c3d1a9fdc3bbcb	d__Bacteria	 p__Desulfobacterota	 c__Desulfobulbia	 o__Desulfobulbales	 f__Desulfocapsaceae	 g__[Desulfobacterium]_catecholicum_group	
3935aaae82d5eaac6fbad2dc4030d42e	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Rubinisphaeraceae	 g__uncultured	 s__uncultured_organism
cbbdb6df85886b01eee962d91fa643ce	d__Bacteria	 p__Desulfobacterota	 c__Desulfovibrionia	 o__Desulfovibrionales	 f__Desulfovibrionaceae	 g__Halodesulfovibrio	 s__Halodesulfovibrio_oceani
178ac45e2b5f57131c1a8f320cc0b584	d__Bacteria	 p__Acidobacteriota	 c__Subgroup_21	 o__Subgroup_21	 f__Subgroup_21	 g__Subgroup_21	 s__uncultured_bacterium
9976403b46bf817f3f4d8aa026622ec9	d__Bacteria	 p__Acidobacteriota	 c__Subgroup_22	 o__Subgroup_22	 f__Subgroup_22	 g__Subgroup_22	
0919488ad043988b083daf2ad5c4db27	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Rubritalea	 s__uncultured_bacterium
35984cb08929dc912c65a1ab9c42d4aa	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
f9c8b5c81cd76ae5023332c0aa4133d6	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Ferruginibacter	
26bf2317953dc072a2c2c88b620498d7	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__uncultured	 s__uncultured_bacterium
61b6878c67b500d4eabd9600fd462cc3	d__Bacteria						
5e4c39b59762e45b66551b3830da294a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Rubidimonas	 s__Rubidimonas_crustatorum
0ff958c8ef3f9d751a4ef3a12d1003fd	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae		
1efce2efe62e39a11d5539ae4ac3df95	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__uncultured	 s__uncultured_bacterium
5b7a21b09df7c45db5b094b990d30486	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Arenicellales	 f__Arenicellaceae	 g__HTCC5015	 s__uncultured_bacterium
9e023fc8eea03b1f48435406abbec9d2	d__Archaea	 p__Crenarchaeota	 c__Nitrososphaeria	 o__Nitrosopumilales	 f__Nitrosopumilaceae	 g__Candidatus_Nitrosopumilus	
46b651965b68efef2cf4ea56edc9cdd2	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__Luteibaculum	 s__uncultured_bacterium
1087d5c0bb064ad92c6511ea38beb8c4	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Granulosicoccales	 f__Granulosicoccaceae	 g__Granulosicoccus	
65d2b2ae006ff4261e92c1c02badff5a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
e701a3819ca11f0bd0bd377cea87cef2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Pseudoalteromonadaceae	 g__Pseudoalteromonas	
