sample	site	species	sp_type	subtype	type	sufficient	level	sea	season	season_time	season_site	season_site_level
L5_L_fab_gut8	L5	L_fabalis	L_fabalis_g	L_fabalis_g	gut	White_June_fab_GB	Lower	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Lower
L5_L_nod_BF2	L5	A_nodosum	A_nodosum_e	environment	environment	White_June_EB	Lower	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Lower
L5_L_obt_gut1	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Lower
L5_L_obt_gut3	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Lower
L5_L_obt_gut4	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Lower
L5_L_obt_gut7	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Lower
L5_L_obt_gut8	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Lower
L5_L_stones_BF2	L5	stones	stones_e	environment	environment	White_June_EB	Lower	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Lower
L5_L_ves_BF3	L5	F_vesiculosus	F_vesiculosus_e	environment	environment	White_June_EB	Lower	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Lower
L5_U_fill_BF1	L5	Fillamentous_Algae	Fillamentous_Algae_e	environment	environment	White_June_EB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
L5_U_fill_BF2	L5	Fillamentous_Algae	Fillamentous_Algae_e	environment	environment	White_June_EB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
L5_U_nod_BF1	L5	A_nodosum	A_nodosum_e	environment	environment	White_June_EB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
L5_U_nod_BF3	L5	A_nodosum	A_nodosum_e	environment	environment	White_June_EB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
L5_U_obt_gut1	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
L5_U_obt_gut2	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
L5_U_obt_gut4	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
L5_U_obt_gut5	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
L5_U_obt_gut6	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
L5_U_obt_gut8	L5	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
L5_U_obt_tent2	L5	L_obtusata	L_obtusata_tent	L_obtusata_tent	tentacles	White_June_obt_BSB	Upper	White	May-June_2022	early_summer_White	early_summer_White	early_summer_White_Upper
